userId,sex,timePassedValidation,ageGroup,fans_count,follows_count,weibos_count,label
1,f,,,283,807,477,1
2,f,,,1,48,0,1
3,f,,,251,1185,627,0
4,f,,,8,54,8,0
5,f,,,3,70,5,0
6,f,,,1,14,8,0
7,f,,,1,41,5,0
8,m,,,1,14,0,1
9,f,,,54,304,1471,0
10,f,,,47,335,4971,0
11,f,,,1,93,5,0
12,f,,,2,299,4,0
13,f,,,6,344,5,0
14,f,,,110,239,1186,0
15,m,,,1,63,0,1
16,f,,,44,13,3,0
17,f,,,12000,1795,2659,1
18,m,,,624000,242,96820,1
19,f,,,490000,1763,84985,1
20,f,,,423000,2200,53133,1
21,f,,,21,420,34,1
22,f,,,82000,1481,78359,1
23,f,,,3266,353,75,0
24,m,,,13000,68,1766,0
25,f,,,105000,714,7195,0
26,m,,,82000,672,12794,1
27,m,,,104000,134,2249,1
28,f,,,120000,96,65,1
29,f,,,12000,59,263,1
30,f,,,745,254,80,0
31,m,,,12000,91,2389,1
32,f,,,13000,119,2326,1
33,f,,,136000,188,3145,1
34,f,,,1123000,2,2476,0
35,f,,,94000,341,324,0
36,m,,,12000,111,2478,0
37,f,,,9,70,77,1
38,f,,,13000,133,2140,0
39,f,,,888,366,1066,0
40,f,,,13000,209,670,0
41,f,,,6,9,8,1
42,m,,,9703,57,2681,1
43,f,,,16000,74,509,0
44,f,,,10000,63,212,1
45,f,,,434000,85,2624,0
46,f,,,29,1060,177,1
47,f,,,72,143,104,0
48,f,,,358,131,170,0
49,f,,,283,314,542,0
50,f,,,68,9,1,0
51,f,,,15000,12,98,0
52,f,,,269000,716,150466,1
53,f,,,450000,21,2494,0
54,f,,,426,1074,3848,0
55,f,,,3,146,0,1
56,f,,,360,1636,754,0
57,f,,,672,1141,834,0
58,f,,,1,280,11,0
59,f,,,792,858,4913,0
60,f,,,13,156,33,0
61,f,,,181,237,96,0
62,m,,,2,73,0,1
63,f,,,493000,2,492,0
64,m,,,44000,2059,459,1
65,f,,,47000,2138,779,1
66,m,,,80000,943,8201,1
67,f,,,1062,44,162,0
68,f,,,4130,55,723,1
69,m,,,930000,1160,0,0
70,m,,,4080,178,2067,0
71,f,,,13000,372,20463,1
72,f,,,529000,147,3306,0
73,f,,,123000,86,119,0
74,m,,,13000,1204,4695,0
75,f,,,103000,228,799,0
76,f,,,2679,1701,954,0
77,f,,,872000,4,5268,0
78,m,,,296,570,306,0
79,m,,,1,405,1,1
80,f,,,917000,227,9499,1
81,f,,,66,141,1,0
82,m,,,837000,1292,3802,1
83,f,,,163000,56,1712,0
84,m,,,247000,364,6685,0
85,m,,,1,151,0,1
